date,dcoilwtico
2013-01-02,93.14
2013-01-03,92.97
2013-01-04,93.12
2013-01-05,93.14666666666668
2013-01-06,93.17333333333333
2013-01-07,93.2
2013-01-08,93.21
2013-01-09,93.08
2013-01-10,93.81
2013-01-11,93.6
2013-01-12,93.82333333333332
2013-01-13,94.04666666666667
2013-01-14,94.27
2013-01-15,93.26
2013-01-16,94.28
2013-01-17,95.49
2013-01-18,95.61
2013-01-19,95.69
2013-01-20,95.77
2013-01-21,95.85
2013-01-22,96.09
2013-01-23,95.06
2013-01-24,95.35
2013-01-25,95.15
2013-01-26,95.41666666666667
2013-01-27,95.68333333333334
2013-01-28,95.95
2013-01-29,97.62
2013-01-30,97.98
2013-01-31,97.65
2013-02-01,97.46
2013-02-02,97.04333333333332
2013-02-03,96.62666666666667
2013-02-04,96.21
2013-02-05,96.68
2013-02-06,96.44
2013-02-07,95.84
2013-02-08,95.71
2013-02-09,96.14333333333333
2013-02-10,96.57666666666667
2013-02-11,97.01
2013-02-12,97.48
2013-02-13,97.03
2013-02-14,97.3
2013-02-15,95.95
2013-02-16,96.07333333333334
2013-02-17,96.19666666666666
2013-02-18,96.32
2013-02-19,96.69
2013-02-20,94.92
2013-02-21,92.79
2013-02-22,93.12
2013-02-23,92.99333333333334
2013-02-24,92.86666666666666
2013-02-25,92.74
2013-02-26,92.63
2013-02-27,92.84
2013-02-28,92.03
2013-03-01,90.71
2013-03-02,90.51666666666667
2013-03-03,90.32333333333332
2013-03-04,90.13
2013-03-05,90.88
2013-03-06,90.47
2013-03-07,91.53
2013-03-08,92.01
2013-03-09,92.03
2013-03-10,92.05
2013-03-11,92.07
2013-03-12,92.44
2013-03-13,92.47
2013-03-14,93.03
2013-03-15,93.49
2013-03-16,93.56333333333333
2013-03-17,93.63666666666666
2013-03-18,93.71
2013-03-19,92.44
2013-03-20,93.21
2013-03-21,92.46
2013-03-22,93.41
2013-03-23,93.78999999999999
2013-03-24,94.17
2013-03-25,94.55
2013-03-26,95.99
2013-03-27,96.53
2013-03-28,97.24
2013-03-29,97.16999999999999
2013-03-30,97.14666666666666
2013-03-31,97.12333333333332
2013-04-01,97.1
2013-04-02,97.23
2013-04-03,95.02
2013-04-04,93.26
2013-04-05,92.76
2013-04-06,92.96000000000001
2013-04-07,93.16
2013-04-08,93.36
2013-04-09,94.18
2013-04-10,94.59
2013-04-11,93.44
2013-04-12,91.23
2013-04-13,90.40333333333334
2013-04-14,89.57666666666667
2013-04-15,88.75
2013-04-16,88.73
2013-04-17,86.65
2013-04-18,87.83
2013-04-19,88.04
2013-04-20,88.29666666666667
2013-04-21,88.55333333333334
2013-04-22,88.81
2013-04-23,89.21
2013-04-24,91.07
2013-04-25,93.27
2013-04-26,92.63
2013-04-27,93.11666666666666
2013-04-28,93.60333333333334
2013-04-29,94.09
2013-04-30,93.22
2013-05-01,90.74
2013-05-02,93.7
2013-05-03,95.25
2013-05-04,95.43333333333334
2013-05-05,95.61666666666666
2013-05-06,95.8
2013-05-07,95.28
2013-05-08,96.24
2013-05-09,96.09
2013-05-10,95.81
2013-05-11,95.46000000000001
2013-05-12,95.11
2013-05-13,94.76
2013-05-14,93.96
2013-05-15,93.95
2013-05-16,94.85
